fecha,nivel_m,caudal_m3s,lluvia_mm,desbordamiento_txt,overflow
2022-09-06,1.04,25.2,0.0,NO,0
2022-09-07,1.07,25.2,0.0,NO,0
2022-09-08,1.05,25.5,0.0,NO,0
2022-09-09,1.04,25.9,0.0,NO,0
2022-09-10,1.04,25.6,0.0,NO,0
2022-09-11,1.04,25.6,0.0,NO,0
2022-09-12,1.04,25.6,0.0,NO,0
2022-09-13,1.04,25.6,0.0,NO,0
2022-09-14,1.04,22.6,0.0,NO,0
2022-09-15,0.99,18.8,0.0,NO,0
2022-09-16,0.93,13.2,0.0,NO,0
2022-09-17,0.98,11.0,0.0,NO,0
2022-09-18,1.02,13.4,0.0,NO,0
2022-09-19,0.99,14.8,0.0,NO,0
2022-09-20,0.93,14.8,0.0,NO,0
2022-09-21,0.93,14.9,0.0,NO,0
2022-09-22,0.93,15.2,0.0,NO,0
2022-09-23,0.93,15.2,0.0,NO,0
2022-09-24,0.93,15.2,0.0,NO,0
2022-09-25,0.93,15.2,0.0,NO,0
2022-09-26,0.93,15.2,0.0,NO,0
2022-09-27,0.9,15.2,0.0,NO,0
2022-09-28,0.92,15.1,0.0,NO,0
2022-09-29,0.92,15.4,0.0,NO,0
2022-09-30,0.97,19.0,0.0,NO,0
2022-10-01,1.07,29.5,0.0,NO,0
2022-10-02,0.97,19.2,0.0,NO,0
2022-10-03,0.91,14.2,0.0,NO,0
2022-10-04,0.91,14.5,0.0,NO,0
2022-10-05,0.91,14.5,0.0,NO,0
2022-10-06,0.91,14.7,0.0,NO,0
2022-10-07,0.91,14.3,0.0,NO,0
2022-10-08,0.91,13.9,0.0,NO,0
2022-10-09,0.89,12.8,1.2,NO,0
2022-10-10,0.89,12.8,0.2,NO,0
2022-10-11,0.95,12.8,4.8,NO,0
2022-10-12,0.99,12.8,0.0,NO,0
2022-10-13,0.99,12.8,0.0,NO,0
2022-10-14,1.0,12.8,0.0,NO,0
2022-10-15,1.0,12.8,0.0,NO,0
2022-10-16,1.0,12.8,2.2,NO,0
2022-10-17,1.0,12.8,0.0,NO,0
2022-10-18,1.0,12.8,0.0,NO,0
2022-10-19,1.01,12.4,1.4,NO,0
2022-10-20,1.03,13.0,2.2,NO,0
2022-10-21,1.01,11.5,0.0,NO,0
2022-10-22,1.0,11.4,1.0,NO,0
2022-10-23,0.99,10.8,0.0,NO,0
2022-10-24,0.98,10.7,0.0,NO,0
2022-10-25,0.98,10.7,0.0,NO,0
2022-10-26,0.98,10.7,0.0,NO,0
2022-10-27,0.98,10.4,0.0,NO,0
