fecha,nivel_m,caudal_m3s,lluvia_mm,desbordamiento,caudal_log,nivel_lag1,caudal_lag1,nivel_lag2,caudal_lag2,lluvia_3d,lluvia_7d,lluvia_media_7d,nivel_diff,caudal_diff,nivel_media_3,caudal_media_3,nivel_media_7,caudal_media_7,dia_sin,dia_cos
2023-08-10,0.85,18.63,0.0,0,2.9770590082883697,1.1,3.597860055726768,0.85,2.9770590082883697,0.0,0.3999999999999929,0.05714285714285613,-0.2500000000000001,-16.890000000000004,0.9333333333333335,24.26000000000001,0.8899999999999999,21.312857142857144,-0.6206094818274228,-0.7841198065767104
2023-08-11,0.85,18.63,0.0,0,2.9770590082883697,0.85,2.9770590082883697,1.1,3.597860055726768,0.0,0.0,0.0,0.0,0.0,0.9333333333333332,24.26000000000001,0.89,21.312857142857144,-0.6339784927628865,-0.77335067770973
2023-08-12,0.85,18.63,0.0,0,2.9770590082883697,0.85,2.9770590082883697,0.85,2.9770590082883697,0.0,0.0,0.0,0.0,0.0,0.85,18.63,0.8885714285714286,21.222857142857144,-0.6471606673266059,-0.7623536388483905
2023-08-13,0.85,18.63,0.0,0,2.9770590082883697,0.85,2.9770590082883697,0.85,2.9770590082883697,0.0,0.0,0.0,0.0,0.0,0.85,18.63,0.8871428571428571,21.132857142857144,-0.6601521206712315,-0.7511319308705201
2023-08-14,0.85,18.63,0.0,0,2.9770590082883697,0.85,2.9770590082883697,0.85,2.9770590082883697,0.0,0.0,0.0,0.0,0.0,0.85,18.63,0.8857142857142858,21.04285714285714,-0.6729490241558326,-0.7396888608649671
2023-08-15,0.85,18.63,0.4,0,2.9770590082883697,0.85,2.9770590082883697,0.85,2.9770590082883697,0.3999999999999929,0.3999999999999929,0.05714285714285613,0.0,0.0,0.85,18.63,0.8857142857142858,21.04285714285714,-0.6855476064742154,-0.7280278011569848
2023-08-16,0.85,18.63,0.0,0,2.9770590082883697,0.85,2.9770590082883697,0.85,2.9770590082883697,0.3999999999999929,0.3999999999999929,0.05714285714285613,0.0,0.0,0.85,18.63,0.85,18.63,-0.6979441547663433,-0.7161521883143935
2023-08-17,0.85,18.63,0.0,0,2.9770590082883697,0.85,2.9770590082883697,0.85,2.9770590082883697,0.3999999999999929,0.3999999999999929,0.05714285714285613,0.0,0.0,0.85,18.63,0.85,18.63,-0.7101350157125356,-0.7040655221348059
2023-08-18,0.85,18.63,0.0,0,2.9770590082883697,0.85,2.9770590082883697,0.85,2.9770590082883697,0.0,0.3999999999999929,0.05714285714285613,0.0,0.0,0.85,18.63,0.85,18.63,-0.7221165966101161,-0.691771364614222
2023-08-19,0.88,20.51,0.0,0,3.068517943279639,0.85,2.9770590082883697,0.85,2.9770590082883697,0.0,0.3999999999999929,0.05714285714285613,0.030000000000000027,1.8800000000000026,0.86,19.256666666666675,0.8542857142857142,18.898571428571426,-0.7338853664321993,-0.6792733388972929
2023-08-20,0.86,19.26,0.0,0,3.0086484988205373,0.88,3.068517943279639,0.85,2.9770590082883697,0.0,0.3999999999999929,0.05714285714285613,-0.020000000000000018,-1.25,0.8633333333333333,19.466666666666672,0.8557142857142858,18.988571428571426,-0.7454378568683003,-0.6665751282095631
