fecha,nivel_m,caudal_m3s,desbordamiento,lluvia,lluvia_mm,nivel_interpolado,caudal_interpolado,lluvia_interpolada,dato_original_completo,municipio_Arroyo,municipio_Asco,municipio_Castejon,municipio_Logroño,municipio_Mendavia,municipio_Miranda del Ebro,municipio_Palazuelos,municipio_Reinosa-Nestares,municipio_Riosequillo,municipio_Tortosa,municipio_Tudela,municipio_Zaragoza
2020-05-25,0.27,1.56,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-28,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-30,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,0.23,1.18,0.0,3.8,3.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-02,0.23,1.18,0.0,1.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,0.23,1.18,0.0,2.6,2.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-04,0.23,1.18,0.0,4.8,4.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-05,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-06,0.23,1.18,0.0,2.4,2.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-07,0.23,1.18,0.0,0.8,0.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,0.4,2.88,0.0,1.6,1.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-10,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-11,0.23,1.18,0.0,6.0,6.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-12,0.23,1.18,0.0,1.8,1.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-13,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-16,0.23,1.18,0.0,7.2,7.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,0.23,1.18,0.0,6.6,6.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-18,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,0.22,1.09,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-20,0.22,1.09,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,0.83,17.37,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-22,0.8,15.49,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-23,0.8,15.49,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-24,0.8,15.49,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-25,0.8,15.49,0.0,3.6,3.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-26,0.8,15.49,0.0,1.8,1.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-27,0.8,15.49,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,0.8,15.49,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,0.8,15.49,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-30,0.8,15.49,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,0.8,15.49,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,0.8,15.49,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-03,0.8,15.49,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-04,0.8,15.49,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-05,0.8,15.49,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-06,0.8,15.49,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-07,1.03,30.28,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-08,1.02,29.54,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-09,0.91,22.39,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-10,0.91,22.39,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-11,0.91,22.39,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-12,0.93,23.65,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-13,0.92,23.02,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-14,0.91,22.39,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-15,0.91,22.39,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-16,0.91,22.39,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-17,1.05,31.78,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-18,1.04,31.03,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-19,1.03,30.28,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-20,1.04,31.03,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-21,1.03,30.28,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-22,1.03,30.28,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-23,1.03,30.28,0.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-24,1.24,46.3,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-25,1.23,45.48,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-26,1.23,45.48,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-27,1.17,40.76,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-28,1.17,40.76,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-29,1.17,40.76,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-30,1.17,40.76,0.0,2.8,2.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-31,1.16,40.01,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,1.16,40.01,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-02,1.16,40.01,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-03,1.16,40.01,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-04,1.16,40.01,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-05,1.16,40.01,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-06,1.16,40.01,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-07,1.16,40.01,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-08,1.14,38.51,0.0,14.2,14.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-09,1.14,38.51,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-10,1.14,38.51,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-11,1.14,38.51,0.0,14.0,14.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-12,1.1,35.52,0.0,2.0,2.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-13,1.06,32.53,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
